iter	Passed	Remaining
401	14008	20838
402	14042	20802
403	14075	20765
404	14109	20728
405	14140	20688
406	14173	20650
407	14205	20611
408	14237	20572
409	14268	20533
410	14300	20494
411	14331	20454
412	14363	20414
413	14394	20375
414	14425	20334
415	14456	20294
416	14486	20253
417	14518	20214
418	14549	20175
419	14582	20137
420	14616	20101
421	14653	20070
422	14690	20038
423	14727	20007
424	14767	19979
425	14806	19950
426	14846	19922
427	14885	19893
428	14925	19866
429	14980	19857
430	15032	19846
431	15072	19817
432	15105	19780
433	15139	19744
434	15179	19715
435	15219	19688
436	15253	19651
437	15285	19613
438	15317	19573
439	15349	19535
440	15381	19497
441	15412	19457
442	15443	19417
443	15475	19378
444	15507	19341
445	15540	19303
446	15571	19263
447	15602	19224
448	15634	19186
449	15670	19152
450	15712	19126
451	15753	19099
452	15794	19071
453	15833	19042
454	15869	19007
455	15900	18969
456	15933	18932
457	15966	18895
458	15999	18857
459	16030	18818
460	16061	18778
461	16092	18739
462	16123	18700
463	16155	18662
464	16189	18626
465	16224	18591
466	16256	18553
467	16288	18515
468	16321	18478
469	16353	18441
470	16384	18402
471	16417	18365
472	16450	18328
473	16482	18291
474	16516	18255
475	16550	18219
476	16585	18184
477	16618	18148
478	16652	18112
479	16686	18076
480	16717	18038
481	16751	18002
482	16781	17962
483	16813	17924
484	16844	17886
485	16875	17848
486	16907	17810
487	16940	17773
488	16970	17734
489	17001	17695
490	17033	17657
491	17063	17618
492	17093	17579
493	17126	17542
494	17157	17504
495	17189	17467
496	17223	17431
497	17255	17394
498	17289	17358
499	17320	17320
500	17352	17283
501	17387	17248
502	17419	17211
503	17451	17174
504	17482	17136
505	17513	17098
506	17545	17061
507	17576	17023
508	17607	16985
509	17638	16947
510	17670	16909
511	17701	16872
512	17735	16836
513	17767	16799
514	17800	16763
515	17831	16725
516	17862	16687
517	17893	16650
518	17924	16611
519	17958	16577
520	17994	16543
521	18031	16511
522	18070	16481
523	18108	16450
524	18149	16421
525	18188	16389
526	18227	16360
527	18268	16330
528	18305	16298
529	18341	16264
530	18376	16231
531	18411	16196
532	18444	16160
533	18479	16126
534	18514	16091
535	18548	16057
536	18581	16021
537	18615	15985
538	18651	15952
539	18689	15920
540	18724	15886
541	18758	15851
542	18793	15817
543	18829	15783
544	18864	15748
545	18899	15714
546	18937	15682
547	18971	15647
548	19006	15613
549	19041	15579
550	19073	15542
551	19105	15506
552	19138	15470
553	19171	15434
554	19204	15397
555	19239	15363
556	19274	15329
557	19313	15298
558	19435	15332
559	19524	15340
560	19610	15345
561	19696	15350
562	19778	15351
563	19868	15359
564	19951	15360
565	20035	15362
566	20114	15360
567	20195	15360
568	20277	15359
569	20369	15366
570	20457	15369
571	20537	15367
572	20622	15367
573	20704	15366
574	20800	15374
575	20899	15384
576	20988	15386
577	21031	15354
578	21069	15320
579	21104	15282
580	21140	15245
581	21175	15208
582	21211	15171
583	21249	15136
584	21283	15098
585	21320	15062
586	21355	15025
587	21391	14988
588	21432	14955
589	21474	14922
590	21510	14886
591	21549	14851
592	21641	14853
593	21728	14851
594	21815	14849
595	21901	14845
596	22000	14851
597	22095	14853
598	22189	14854
599	22283	14855
600	22375	14855
601	22464	14852
602	22551	14847
603	22634	14839
604	22718	14832
605	22800	14823
606	22886	14817
607	22973	14812
608	23061	14806
609	23144	14797
610	23229	14789
611	23315	14781
612	23404	14775
613	23491	14768
614	23575	14758
615	23658	14747
616	23741	14737
617	23829	14729
618	23909	14716
619	23990	14703
620	24073	14692
621	24159	14682
622	24242	14669
623	24322	14656
624	24407	14644
625	24488	14630
626	24570	14616
627	24658	14606
628	24738	14591
629	24820	14577
630	24904	14563
631	24988	14550
632	25080	14541
633	25183	14538
634	25273	14527
635	25354	14511
636	25437	14495
637	25518	14478
638	25602	14464
639	25688	14449
640	25775	14435
641	25856	14418
642	25941	14402
643	26023	14385
644	26102	14366
645	26192	14353
646	26278	14337
647	26361	14319
648	26452	14306
649	26537	14289
650	26621	14271
651	26708	14255
652	26794	14238
653	26884	14223
654	26972	14207
655	27060	14190
656	27144	14171
657	27230	14153
658	27318	14135
659	27402	14116
660	27482	14094
661	27565	14073
662	27647	14053
663	27733	14034
664	27829	14019
665	27911	13997
666	27992	13975
667	28073	13952
668	28159	13932
669	28252	13915
670	28346	13898
671	28426	13874
672	28509	13852
673	28598	13832
674	28679	13808
675	28761	13784
676	28842	13760
677	28921	13735
678	29014	13716
679	29097	13693
680	29177	13667
681	29261	13643
682	29325	13610
683	29373	13570
684	29415	13526
685	29457	13483
686	29497	13439
687	29540	13396
688	29583	13353
689	29625	13310
690	29669	13267
691	29709	13223
692	29745	13177
693	29783	13132
694	29819	13086
695	29859	13041
696	29895	12996
697	29932	12950
698	29971	12906
699	30011	12861
700	30051	12817
701	30093	12774
702	30134	12731
703	30179	12689
704	30221	12645
705	30261	12601
706	30303	12558
707	30346	12515
708	30388	12472
709	30430	12429
710	30475	12387
711	30518	12344
712	30556	12299
713	30593	12254
714	30630	12209
715	30668	12164
716	30708	12120
717	30745	12075
718	30780	12029
719	30814	11983
720	30853	11939
721	30894	11895
722	30935	11852
723	30975	11808
724	31018	11765
725	31057	11721
726	31094	11676
727	31132	11631
728	31171	11587
729	31208	11542
730	31245	11498
731	31281	11452
732	31318	11407
733	31354	11362
734	31394	11319
735	31434	11275
736	31468	11229
737	31502	11183
738	31539	11139
739	31575	11093
740	31612	11049
741	31649	11004
742	31690	10961
743	31725	10916
744	31762	10871
745	31799	10827
746	31839	10783
747	31879	10740
748	31920	10697
749	31961	10653
750	31995	10608
751	32030	10563
752	32066	10518
753	32101	10473
754	32134	10427
755	32168	10382
756	32203	10337
757	32239	10292
758	32275	10248
759	32313	10204
760	32350	10160
761	32390	10116
762	32425	10071
763	32462	10027
764	32496	9982
765	32531	9937
766	32568	9893
767	32603	9848
768	32639	9804
769	32676	9760
770	32713	9716
771	32748	9671
772	32784	9627
773	32821	9583
774	32859	9539
775	32894	9495
776	32929	9450
777	32964	9406
778	32998	9361
779	33033	9317
780	33068	9272
781	33103	9228
782	33140	9184
783	33174	9139
784	33211	9096
785	33247	9052
786	33281	9007
787	33318	8963
788	33355	8920
789	33391	8876
790	33425	8831
791	33461	8787
792	33496	8743
793	33528	8698
794	33561	8654
795	33595	8609
796	33629	8565
797	33665	8521
798	33699	8477
799	33735	8433
800	33771	8390
801	33807	8346
802	33843	8302
803	33880	8259
804	33918	8216
805	33951	8172
806	33984	8127
807	34019	8083
808	34053	8039
809	34088	7995
810	34123	7952
811	34157	7908
812	34191	7864
813	34226	7820
814	34261	7777
815	34295	7733
816	34333	7690
817	34370	7647
818	34405	7603
819	34440	7560
820	34474	7516
821	34508	7472
822	34542	7429
823	34575	7385
824	34610	7341
825	34645	7298
826	34681	7255
827	34716	7211
828	34749	7167
829	34783	7124
830	34817	7080
831	34852	7037
832	34889	6994
833	34926	6951
834	34961	6908
835	34995	6865
836	35028	6821
837	35061	6778
838	35096	6734
839	35129	6691
840	35163	6648
841	35197	6604
842	35232	6561
843	35265	6518
844	35300	6475
845	35337	6432
846	35375	6390
847	35411	6347
848	35447	6304
849	35482	6261
850	35518	6218
851	35552	6175
852	35587	6132
853	35623	6090
854	35658	6047
855	35694	6004
856	35728	5961
857	35763	5918
858	35796	5875
859	35832	5833
860	35870	5790
861	35908	5748
862	35946	5706
863	35982	5663
864	36018	5621
865	36053	5578
866	36089	5536
867	36121	5493
868	36156	5450
869	36189	5407
870	36223	5364
871	36256	5322
872	36291	5279
873	36325	5236
874	36360	5194
875	36397	5152
876	36433	5109
877	36469	5067
878	36504	5025
879	36537	4982
880	36572	4939
881	36605	4897
882	36640	4854
883	36676	4812
884	36713	4770
885	36748	4728
886	36782	4685
887	36817	4643
888	36854	4601
889	36892	4559
890	36929	4517
891	36965	4475
892	37003	4433
893	37041	4391
894	37078	4350
895	37115	4308
896	37152	4266
897	37186	4223
898	37222	4181
899	37260	4140
900	37295	4097
901	37334	4056
902	37372	4014
903	37411	3972
904	37448	3931
905	37486	3889
906	37522	3847
907	37559	3805
908	37592	3763
909	37627	3721
910	37664	3679
911	37703	3638
912	37741	3596
913	37776	3554
914	37811	3512
915	37849	3470
916	37888	3429
917	37925	3387
918	37959	3345
919	37993	3303
920	38028	3261
921	38062	3220
922	38097	3178
923	38133	3136
924	38166	3094
925	38201	3052
926	38235	3011
927	38269	2969
928	38302	2927
929	38339	2885
930	38373	2844
931	38407	2802
932	38442	2760
933	38475	2718
934	38511	2677
935	38546	2635
936	38583	2594
937	38622	2552
938	38666	2511
939	38707	2470
940	38751	2429
941	38795	2388
942	38833	2347
943	38869	2305
944	38904	2264
945	38939	2222
946	38976	2181
947	39015	2140
948	39058	2099
949	39100	2057
950	39140	2016
951	39180	1975
952	39237	1935
953	39291	1894
954	39333	1853
955	39371	1812
956	39408	1770
957	39445	1729
958	39478	1687
959	39511	1646
960	39546	1604
961	39579	1563
962	39614	1522
963	39647	1480
964	39679	1439
965	39712	1397
966	39744	1356
967	39777	1314
968	39814	1273
969	39852	1232
970	39886	1191
971	39923	1150
972	39958	1108
973	39992	1067
974	40027	1026
975	40061	985
976	40094	943
977	40127	902
978	40160	861
979	40192	820
980	40223	779
981	40256	737
982	40290	696
